ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YNR054C,0.0015,0.996,474.9,7.9,0.4%
YKR095W,0.0015,0.996,475.0,7.9,0.4%
YOR237W,0.0015,0.996,475.0,7.9,0.4%
YCR016W,0.0015,0.997,475.4,7.9,0.3%
YJR074W,0.0015,0.999,475.6,7.9,0.1%
YDR363W-A,0.0015,0.998,475.8,7.9,0.2%
YKR016W,0.0015,0.998,475.9,7.9,0.3%
YFL023W,0.0015,0.998,476.0,7.9,0.2%
YKL205W,0.0015,0.995,476.1,7.9,0.4%
YMR074C,0.0015,0.997,476.2,7.9,0.2%
YKL077W,0.0015,0.999,476.6,7.9,0.1%
YIL009W,0.0015,0.997,477.0,8.0,0.2%
YBR060C,0.0015,0.995,477.0,8.0,0.5%
YLR359W,0.0015,0.995,477.1,8.0,0.2%
YHR143W-A,0.0015,0.999,477.2,8.0,0.0%
YDR198C,0.0015,0.994,477.3,8.0,0.8%
YDR416W,0.0015,0.997,477.6,8.0,0.9%
YPL126W,0.0015,0.998,478.0,8.0,0.1%
YHR072W-A,0.0014,0.996,478.1,8.0,0.4%
YOR272W,0.0014,0.998,478.2,8.0,0.2%
YIL124W,0.0014,0.942,478.3,8.0,2.1%
YER082C,0.0014,0.997,478.3,8.0,0.2%
YMR026C,0.0014,0.991,478.4,8.0,0.9%
YFL024C,0.0014,0.985,478.7,8.0,1.1%
YNR047W,0.0014,0.998,478.8,8.0,0.1%
YNL062C,0.0014,0.999,478.8,8.0,0.1%
YPL154C,0.0014,0.997,479.0,8.0,0.2%
YNL256W,0.0014,0.996,479.0,8.0,0.4%
YJR051W,0.0014,0.999,479.4,8.0,0.0%
YNL248C,0.0014,0.996,479.4,8.0,0.3%
YOR294W,0.0014,0.998,479.6,8.0,0.1%
YLR144C,0.0014,0.961,479.7,8.0,1.4%
YGR173W,0.0014,0.999,479.7,8.0,0.1%
YDR084C,0.0014,0.996,479.9,8.0,0.4%
YOR045W,0.0014,0.997,480.2,8.0,0.3%
YDL065C,0.0014,0.997,480.2,8.0,0.2%
YOL081W,0.0014,0.801,480.3,8.0,28.5%
YPR162C,0.0014,0.991,480.4,8.0,0.7%
YBR214W,0.0014,0.996,480.4,8.0,0.2%
YDR201W,0.0014,0.996,480.5,8.0,0.5%
YPR056W,0.0014,0.998,480.6,8.0,0.2%
YPR017C,0.0014,0.997,480.7,8.0,0.5%
YOR048C,0.0014,0.998,480.8,8.0,0.1%
YIL096C,0.0014,1.000,480.9,8.0,0.0%
YHR016C,0.0014,0.998,480.9,8.0,0.1%
YMR067C,0.0014,0.999,481.3,8.0,0.1%
YKR024C,0.0014,0.999,481.4,8.0,0.1%
YHR146W,0.0014,0.996,481.7,8.0,0.4%
YNL312W,0.0014,0.993,481.9,8.0,0.7%
YPL196W,0.0014,0.993,482.0,8.0,1.0%
YOR280C,0.0014,0.995,482.0,8.0,0.5%
YCL045C,0.0014,0.993,482.1,8.0,0.7%
YCR036W,0.0014,0.997,482.4,8.0,0.2%
YNL161W,0.0014,0.996,482.6,8.0,0.3%
YDR439W,0.0014,0.979,482.6,8.0,3.2%
YLR006C,0.0014,0.995,482.7,8.0,1.0%
YLR421C,0.0014,0.991,482.8,8.0,1.0%
YDR120C,0.0014,0.997,483.1,8.1,0.2%
YNL307C,0.0014,0.997,483.3,8.1,0.3%
YDL209C,0.0014,0.993,483.3,8.1,1.0%
YDR206W,0.0014,0.996,483.5,8.1,0.3%
YGR156W,0.0014,0.991,483.7,8.1,1.0%
YML110C,0.0014,0.885,483.7,8.1,4.1%
YPR072W,0.0014,0.995,483.8,8.1,0.5%
YLR218C,0.0014,1.000,483.9,8.1,0.0%
YJL073W,0.0014,0.967,484.1,8.1,0.6%
YHR001W,0.0014,0.997,484.3,8.1,0.3%
YNR052C,0.0014,0.990,484.3,8.1,1.3%
YKR002W,0.0014,0.992,484.4,8.1,0.5%
YHR148W,0.0014,0.996,484.4,8.1,0.3%
YDL074C,0.0014,0.996,484.4,8.1,0.3%
YBL082C,0.0014,0.993,484.4,8.1,8.1%
YBR039W,0.0014,0.996,484.5,8.1,0.5%
YDL129W,0.0014,0.997,484.5,8.1,0.9%
YKL033W,0.0014,0.995,484.6,8.1,0.4%
YOR125C,0.0014,0.996,484.6,8.1,0.1%
YLR090W,0.0014,0.991,484.7,8.1,0.8%
YER043C,0.0014,0.999,484.7,8.1,0.1%
YJR105W,0.0014,0.999,484.9,8.1,0.0%
YPR161C,0.0014,1.000,485.0,8.1,0.0%
YIR012W,0.0014,0.995,485.0,8.1,0.5%
YPR160W,0.0014,0.993,485.1,8.1,0.3%
YDR406W,0.0014,0.994,485.2,8.1,0.0%
YBR077C,0.0014,0.995,485.5,8.1,0.5%
YIL038C,0.0014,0.997,485.6,8.1,0.3%
YOR022C,0.0014,0.999,485.7,8.1,0.1%
YBR026C,0.0014,0.998,485.7,8.1,0.2%
YBR044C,0.0014,0.993,485.8,8.1,0.9%
YGL141W,0.0014,0.995,485.9,8.1,0.6%
YJL173C,0.0014,0.997,485.9,8.1,0.2%
YBR286W,0.0014,0.999,486.0,8.1,0.1%
YOR018W,0.0014,1.000,486.3,8.1,0.0%
YGL020C,0.0014,0.996,486.4,8.1,0.4%
YLR182W,0.0014,0.998,486.5,8.1,0.1%
YPL002C,0.0014,0.995,486.6,8.1,0.8%
YFR008W,0.0014,0.996,486.8,8.1,0.2%
YIL083C,0.0014,0.996,487.0,8.1,0.4%
YPL138C,0.0014,0.999,487.3,8.1,0.0%
YOR276W,0.0014,0.996,487.4,8.1,0.2%
YMR239C,0.0014,0.997,487.6,8.1,0.3%
YIL077C,0.0014,0.997,487.7,8.1,0.2%
YNL027W,0.0014,1.000,487.8,8.1,0.0%
YGL228W,0.0014,0.999,487.8,8.1,0.1%
YGR282C,0.0014,0.999,487.9,8.1,0.1%
YDR287W,0.0014,0.990,487.9,8.1,0.4%
YJL029C,0.0014,0.996,488.0,8.1,0.4%
YNL315C,0.0014,0.965,488.0,8.1,1.3%
YKL191W,0.0014,0.997,488.2,8.1,0.2%
YDL148C,0.0014,0.997,488.2,8.1,0.2%
YPL051W,0.0014,0.996,488.2,8.1,0.5%
YAL031C,0.0014,1.000,488.5,8.1,0.0%
YJR003C,0.0014,0.993,488.5,8.1,0.4%
YDL234C,0.0014,0.990,488.5,8.1,1.2%
YBR192W,0.0014,0.985,488.7,8.1,0.6%
YDR060W,0.0014,0.999,489.0,8.1,0.1%
YDR109C,0.0014,0.993,489.0,8.2,0.8%
YBR111C,0.0014,0.997,489.0,8.2,0.3%
YDR311W,0.0014,0.994,489.1,8.2,0.6%
YKL028W,0.0014,0.997,489.2,8.2,0.4%
YMR075W,0.0014,0.998,489.2,8.2,0.2%
YMR294W,0.0014,0.995,489.3,8.2,0.8%
YBR193C,0.0014,0.994,489.4,8.2,0.6%
YIR024C,0.0014,0.997,489.6,8.2,0.3%
YGR093W,0.0014,0.995,489.7,8.2,0.3%
YBR139W,0.0014,0.997,489.7,8.2,0.2%
YIL156W,0.0014,0.990,489.8,8.2,1.3%
YDR251W,0.0014,0.998,489.9,8.2,0.3%
YJL054W,0.0014,0.998,490.0,8.2,0.2%
YMR211W,0.0014,0.974,490.1,8.2,7.6%
YOR153W,0.0014,0.999,490.4,8.2,0.1%
YJR141W,0.0014,0.994,490.7,8.2,0.7%
YJL050W,0.0014,0.998,491.0,8.2,0.1%
YNL278W,0.0014,0.996,491.0,8.2,0.4%
YER086W,0.0014,0.994,491.0,8.2,0.5%
YGR268C,0.0014,0.979,491.2,8.2,0.6%
YLR262C-A,0.0014,0.996,491.5,8.2,0.4%
YKL065C,0.0014,0.999,491.5,8.2,0.1%
YPL195W,0.0014,0.998,491.5,8.2,0.1%
YFL034W,0.0014,0.999,491.6,8.2,0.2%
YOL147C,0.0014,0.998,491.8,8.2,0.1%
YDR424C,0.0014,0.994,492.3,8.2,0.6%
YKL204W,0.0014,0.997,492.3,8.2,0.3%
YCR072C,0.0014,0.996,492.3,8.2,0.3%
YHR034C,0.0014,0.996,492.5,8.2,0.4%
YLR017W,0.0014,0.990,492.7,8.2,0.7%
YHR158C,0.0014,0.936,492.9,8.2,2.4%
YDR011W,0.0014,0.998,493.0,8.2,0.1%
YNR070W,0.0014,0.998,493.0,8.2,0.1%
YKL144C,0.0014,0.997,493.1,8.2,0.3%
YDR425W,0.0014,0.992,493.1,8.2,0.5%
YDL160C,0.0014,0.995,493.2,8.2,0.5%
YNL282W,0.0014,0.996,493.2,8.2,0.3%
YML048W,0.0014,0.998,493.6,8.2,0.2%
YFL013C,0.0014,0.998,493.7,8.2,0.1%
YOR357C,0.0014,0.984,493.7,8.2,1.1%
YDR138W,0.0014,0.998,493.8,8.2,0.2%
YAR015W,0.0014,0.989,494.0,8.2,0.5%
YPR113W,0.0014,0.996,494.1,8.2,0.4%
YGL227W,0.0014,0.998,494.1,8.2,0.3%
YNR032C-A,0.0014,0.991,494.2,8.2,0.7%
YDR458C,0.0014,0.997,494.3,8.2,0.3%
YDL207W,0.0014,0.997,494.4,8.2,0.4%
YMR241W,0.0014,0.990,494.4,8.2,0.8%
YLR419W,0.0014,0.996,494.5,8.2,0.2%
YPR180W,0.0014,0.984,494.5,8.2,1.4%
YGR103W,0.0014,0.999,494.6,8.2,0.1%
YOL143C,0.0014,0.916,494.6,8.2,3.2%
YGR209C,0.0014,0.990,494.9,8.2,0.6%
YMR302C,0.0014,0.999,495.0,8.2,0.1%
YKL195W,0.0014,0.999,495.4,8.3,0.1%
YPL074W,0.0014,0.996,495.4,8.3,0.5%
YPL108W,0.0014,0.985,495.5,8.3,2.3%
YPL266W,0.0014,0.998,495.6,8.3,0.1%
YJR041C,0.0014,0.997,495.6,8.3,0.2%
YDR116C,0.0014,0.996,495.7,8.3,0.4%
YLR099C,0.0014,0.984,495.7,8.3,0.5%
YGL236C,0.0014,0.997,495.8,8.3,0.3%
YGL056C,0.0014,0.997,495.8,8.3,0.2%
YGR181W,0.0014,0.998,495.9,8.3,0.2%
YOR038C,0.0014,0.997,496.0,8.3,0.3%
YDL052C,0.0014,0.996,496.3,8.3,0.4%
YOR229W,0.0014,0.974,496.6,8.3,0.9%
YOR194C,0.0014,0.987,496.7,8.3,0.6%
YMR275C,0.0014,0.952,496.8,8.3,2.0%
YFL001W,0.0014,0.983,496.8,8.3,0.8%
YER089C,0.0014,0.994,497.2,8.3,0.5%
YML103C,0.0014,0.999,497.4,8.3,0.1%
YJR052W,0.0014,1.000,497.5,8.3,0.0%
YMR185W,0.0014,0.998,497.6,8.3,0.4%
YLR011W,0.0014,0.993,497.7,8.3,1.4%
YJR031C,0.0014,0.994,497.7,8.3,0.7%
YMR220W,0.0014,0.998,497.8,8.3,0.1%
YGR040W,0.0014,0.998,497.8,8.3,0.2%
YJL101C,0.0014,0.995,497.9,8.3,0.3%
YLR284C,0.0014,0.999,497.9,8.3,0.2%
YBR246W,0.0014,0.984,498.0,8.3,0.7%
YGR117C,0.0014,1.000,498.0,8.3,0.0%
YLR096W,0.0014,0.986,498.2,8.3,0.8%
YGR159C,0.0014,0.999,498.3,8.3,0.0%
YNL216W,0.0014,0.997,498.6,8.3,0.3%
YPL083C,0.0014,0.998,498.7,8.3,0.1%
YLR361C,0.0014,0.998,498.8,8.3,0.2%
YLR114C,0.0014,0.994,499.1,8.3,0.6%
YJR093C,0.0014,0.997,499.2,8.3,0.1%
YGR029W,0.0014,0.994,499.2,8.3,0.7%
YDR087C,0.0014,0.996,499.5,8.3,0.3%
YOR243C,0.0014,0.999,499.6,8.3,0.0%
YER014W,0.0014,0.994,499.6,8.3,0.5%
YJR055W,0.0014,0.999,499.6,8.3,0.1%
YFL049W,0.0014,0.998,499.8,8.3,0.1%
YHR197W,0.0014,0.997,499.8,8.3,0.1%
YGL041W-A,0.0014,0.994,499.8,8.3,0.5%
YAL030W,0.0014,1.000,499.8,8.3,0.0%
YKL173W,0.0014,0.999,499.9,8.3,0.1%
YBR123C,0.0014,0.995,500.0,8.3,0.5%
YKL126W,0.0014,0.999,500.6,8.3,0.1%
YNL098C,0.0014,1.000,501.0,8.4,0.0%
YPL128C,0.0014,0.995,501.1,8.4,0.5%
YGL083W,0.0014,0.960,501.2,8.4,1.4%
YLR002C,0.0014,0.998,501.2,8.4,0.2%
YML120C,0.0014,0.998,501.2,8.4,0.2%
YGL022W,0.0014,0.998,501.3,8.4,0.2%
YGR166W,0.0014,0.996,501.3,8.4,0.5%
YCR073C,0.0014,0.998,501.4,8.4,0.8%
YNR031C,0.0014,0.998,501.4,8.4,0.8%
YER171W,0.0014,0.999,501.6,8.4,0.1%
YNL284C,0.0014,0.999,501.7,8.4,0.0%
YHR099W,0.0014,0.835,501.7,8.4,2.8%
YMR029C,0.0014,0.994,501.9,8.4,0.4%
YDR299W,0.0014,0.999,502.0,8.4,0.1%
YMR165C,0.0014,0.996,502.2,8.4,0.3%
YKR095W-A,0.0014,0.992,502.5,8.4,0.7%
YMR153W,0.0014,0.997,502.5,8.4,0.2%
YLR305C,0.0014,0.997,502.6,8.4,0.4%
YLR219W,0.0014,0.981,502.8,8.4,0.8%
YDR204W,0.0014,1.000,503.0,8.4,0.0%
YOR142W,0.0014,0.997,503.1,8.4,0.3%
YKR063C,0.0014,0.991,503.2,8.4,0.8%
YAL023C,0.0014,0.990,503.3,8.4,0.9%
YPL098C,0.0014,0.998,503.4,8.4,0.2%
YNL182C,0.0014,0.998,503.4,8.4,0.1%
YDR088C,0.0014,0.997,503.6,8.4,0.3%
YDR392W,0.0014,0.994,503.8,8.4,0.6%
YOL124C,0.0014,0.997,504.1,8.4,0.1%
YNR017W,0.0014,0.996,504.2,8.4,0.4%
YOL144W,0.0014,0.998,504.3,8.4,0.1%
YDL060W,0.0014,0.996,504.4,8.4,0.3%
YIL046W,0.0014,1.000,504.4,8.4,0.0%
YKR082W,0.0014,0.991,504.5,8.4,0.6%
YJR100C,0.0014,1.000,504.5,8.4,0.0%
YBL069W,0.0014,0.993,504.5,8.4,0.6%
YJL178C,0.0014,0.995,504.6,8.4,0.4%
YGR030C,0.0014,0.994,504.6,8.4,0.1%
YLR356W,0.0014,0.995,504.7,8.4,0.5%
YKL074C,0.0014,0.998,504.8,8.4,0.2%
YDR289C,0.0014,0.995,504.8,8.4,0.5%
YOR211C,0.0014,0.998,504.9,8.4,0.1%
YMR167W,0.0014,0.999,504.9,8.4,0.0%
YNL123W,0.0014,0.997,505.0,8.4,0.3%
YMR005W,0.0014,0.998,505.0,8.4,0.2%
YGL078C,0.0014,0.997,505.1,8.4,0.2%
YLL007C,0.0014,0.959,505.1,8.4,1.7%
YMR024W,0.0014,0.998,505.2,8.4,0.1%
YML022W,0.0014,0.996,505.3,8.4,0.3%
YBR009C,0.0014,0.990,505.3,8.4,0.9%
YNL030W,0.0014,0.990,505.3,8.4,0.9%
YLR312W-A,0.0014,0.995,505.5,8.4,0.6%
YDR348C,0.0014,0.996,505.6,8.4,0.3%
YEL020W-A,0.0014,0.997,505.8,8.4,0.2%
YOL056W,0.0014,0.989,506.0,8.4,0.7%
YOR037W,0.0014,0.989,506.1,8.4,0.7%
YLR197W,0.0014,0.998,506.2,8.4,0.2%
YCR073W-A,0.0014,0.992,506.3,8.4,1.0%
YNL041C,0.0014,0.999,506.4,8.4,0.0%
YKL172W,0.0014,0.998,506.4,8.4,0.1%
YNL231C,0.0014,1.000,506.5,8.4,0.0%
YEL037C,0.0014,0.998,506.5,8.4,0.2%
YBL037W,0.0014,0.997,506.6,8.4,0.3%
YJL123C,0.0014,0.998,506.8,8.4,0.2%
YDL188C,0.0014,0.994,507.0,8.5,0.6%
YJR059W,0.0014,0.998,507.2,8.5,0.1%
YPL091W,0.0014,0.998,507.3,8.5,0.1%
YJL049W,0.0014,0.994,507.6,8.5,0.7%
YMR108W,0.0014,0.992,507.6,8.5,0.6%
YOL010W,0.0014,0.994,507.8,8.5,0.6%
YER137C,0.0014,0.995,508.1,8.5,0.7%
YML127W,0.0014,0.996,508.1,8.5,0.5%
YHL039W,0.0014,0.992,508.4,8.5,0.3%
YJR053W,0.0014,0.960,508.4,8.5,1.6%
YIR026C,0.0014,0.999,508.5,8.5,0.1%
YJL001W,0.0014,0.996,508.6,8.5,0.4%
YBR264C,0.0014,0.997,508.8,8.5,0.2%
YIR004W,0.0014,0.997,508.8,8.5,0.2%
YDR329C,0.0014,0.994,508.8,8.5,0.7%
YIL128W,0.0014,0.998,509.0,8.5,0.3%
YHR038W,0.0014,0.998,509.0,8.5,0.2%
YOR308C,0.0014,0.999,509.6,8.5,0.1%
YPR143W,0.0014,0.998,509.7,8.5,0.2%
YKR092C,0.0014,0.998,510.1,8.5,0.1%
YDR347W,0.0014,0.999,510.2,8.5,0.1%
YJR121W,0.0014,0.997,510.2,8.5,0.3%
YLR058C,0.0014,0.997,510.3,8.5,0.1%
YLR089C,0.0014,0.996,510.6,8.5,0.2%
YMR013C,0.0014,0.999,510.6,8.5,0.0%
YLL004W,0.0014,0.993,510.7,8.5,0.3%
YIL016W,0.0014,0.998,510.7,8.5,0.1%
YGR128C,0.0014,0.998,510.7,8.5,0.1%
YLR180W,0.0014,0.999,510.7,8.5,0.1%
YMR161W,0.0014,0.990,510.9,8.5,0.9%
YIL159W,0.0014,0.988,511.1,8.5,1.2%
YMR264W,0.0014,0.998,511.1,8.5,0.1%
YDR294C,0.0014,0.998,511.3,8.5,0.2%
YMR303C,0.0014,0.997,511.3,8.5,0.3%
YOL023W,0.0014,0.995,511.3,8.5,0.7%
YDR145W,0.0014,0.998,511.5,8.5,0.2%
YNL097C,0.0014,0.998,511.6,8.5,0.2%
YDR096W,0.0014,0.996,511.6,8.5,0.4%
YHR040W,0.0014,0.997,512.1,8.5,0.1%
YDL171C,0.0014,0.991,512.1,8.5,0.7%
YDR089W,0.0014,0.985,512.3,8.5,2.1%
YLR326W,0.0014,0.993,512.3,8.5,1.9%
YMR093W,0.0014,0.997,512.6,8.5,0.3%
YKR081C,0.0014,0.996,512.8,8.5,0.3%
YDL173W,0.0014,0.999,512.9,8.5,0.1%
YDR449C,0.0014,0.998,513.2,8.6,0.2%
YBR279W,0.0014,0.997,513.2,8.6,0.3%
YNL087W,0.0014,0.995,513.4,8.6,0.5%
YBR181C,0.0013,0.992,513.6,8.6,0.7%
YPL090C,0.0013,0.992,513.6,8.6,0.7%
YCL031C,0.0013,0.998,514.0,8.6,0.2%
YOR304W,0.0013,0.892,514.1,8.6,1.7%
YMR229C,0.0013,0.999,514.1,8.6,0.1%
YIL103W,0.0013,0.994,514.5,8.6,0.4%
YCL054W,0.0013,0.998,514.5,8.6,0.1%
YLR319C,0.0013,0.947,514.7,8.6,1.8%
YBR247C,0.0013,0.996,514.8,8.6,0.3%
YOL109W,0.0013,0.989,515.1,8.6,0.8%
YKR028W,0.0013,0.997,515.1,8.6,0.4%
YFL008W,0.0013,0.995,515.1,8.6,0.3%
YPL105C,0.0013,0.997,515.5,8.6,0.3%
YML020W,0.0013,0.998,515.5,8.6,0.1%
YDR408C,0.0013,0.998,515.5,8.6,0.2%
YNL011C,0.0013,0.995,515.7,8.6,1.0%
YIL125W,0.0013,0.998,515.8,8.6,0.2%
YNL197C,0.0013,0.994,515.9,8.6,0.5%
YFR047C,0.0013,0.998,516.2,8.6,0.1%
YDR062W,0.0013,0.997,516.2,8.6,0.3%
YML074C,0.0013,0.997,516.5,8.6,0.2%
YOR286W,0.0013,0.996,516.7,8.6,0.4%
YCR084C,0.0013,0.996,516.8,8.6,0.4%
YKL025C,0.0013,0.998,517.0,8.6,0.1%
YBL008W,0.0013,0.999,517.0,8.6,1.0%
YGL201C,0.0013,0.999,517.1,8.6,0.1%
YJL109C,0.0013,0.998,517.2,8.6,0.1%
YBL099W,0.0013,0.994,517.2,8.6,0.5%
YER178W,0.0013,0.998,517.6,8.6,0.2%
YGR097W,0.0013,0.998,517.7,8.6,0.1%
YHR009C,0.0013,0.992,517.8,8.6,0.8%
YPL015C,0.0013,0.996,517.9,8.6,0.6%
YHL014C,0.0013,0.998,518.1,8.6,0.2%
YJR060W,0.0013,0.995,518.4,8.6,0.4%
YLR078C,0.0013,0.998,518.5,8.6,0.1%
YHR106W,0.0013,0.992,518.8,8.6,0.5%
YPR133C,0.0013,0.999,518.8,8.6,0.1%
YPR168W,0.0013,0.938,519.0,8.6,1.1%
YPL101W,0.0013,0.998,519.0,8.7,0.1%
YJR131W,0.0013,0.997,519.1,8.7,0.3%
YNL135C,0.0013,0.998,519.6,8.7,0.2%
YER083C,0.0013,0.998,519.7,8.7,0.2%
YGR163W,0.0013,0.995,519.8,8.7,0.4%
YER068W,0.0013,0.998,519.9,8.7,0.2%
YDR192C,0.0013,0.956,520.0,8.7,2.2%
YJR049C,0.0013,0.997,520.1,8.7,0.3%
YPL246C,0.0013,0.996,520.1,8.7,0.2%
YDR232W,0.0013,0.997,520.7,8.7,0.3%
YPL217C,0.0013,0.999,520.8,8.7,0.1%
YDR398W,0.0013,0.997,521.0,8.7,0.3%
YGR123C,0.0013,0.997,521.0,8.7,0.2%
YBR030W,0.0013,0.997,521.0,8.7,0.3%
YDL027C,0.0013,0.996,521.4,8.7,0.4%
YBR095C,0.0013,0.981,521.4,8.7,0.5%
YNL040W,0.0013,0.999,521.5,8.7,0.1%
YJL200C,0.0013,0.994,521.6,8.7,0.4%
YHR062C,0.0013,0.990,521.6,8.7,1.1%
YJL061W,0.0013,0.996,521.7,8.7,0.2%
YBR236C,0.0013,0.997,521.9,8.7,0.3%
YLL034C,0.0013,0.998,521.9,8.7,0.2%
YGL112C,0.0013,0.998,522.1,8.7,0.2%
YFR040W,0.0013,0.852,522.3,8.7,2.5%
YJL010C,0.0013,0.999,522.4,8.7,0.1%
YDR323C,0.0013,1.000,522.6,8.7,0.0%
YMR076C,0.0013,0.995,522.8,8.7,0.4%
YPL178W,0.0013,0.989,522.9,8.7,0.9%
YOR340C,0.0013,0.998,523.1,8.7,0.1%
YGR134W,0.0013,0.997,523.1,8.7,0.3%
YBL022C,0.0013,0.996,523.4,8.7,0.3%
YLR153C,0.0013,0.994,523.9,8.7,0.6%
YGL068W,0.0013,0.996,524.1,8.7,0.4%
YLR106C,0.0013,0.996,524.1,8.7,0.3%
YLR372W,0.0013,0.997,524.2,8.7,0.2%
YFR028C,0.0013,0.992,524.3,8.7,0.8%
YFR014C,0.0013,0.997,524.7,8.7,0.3%
YHR155W,0.0013,0.988,524.9,8.7,0.6%
YNL111C,0.0013,0.994,525.0,8.8,0.3%
YGR072W,0.0013,0.999,525.0,8.8,0.2%
YLR196W,0.0013,0.998,525.0,8.8,0.1%
YGR099W,0.0013,0.993,525.4,8.8,0.9%
YER094C,0.0013,0.975,525.6,8.8,1.0%
YPR179C,0.0013,0.999,525.7,8.8,0.1%
YPL206C,0.0013,0.997,525.8,8.8,0.1%
YMR077C,0.0013,0.998,526.0,8.8,0.1%
YNL048W,0.0013,0.994,526.1,8.8,0.2%
YOR160W,0.0013,0.977,526.1,8.8,2.8%
YDL185W,0.0013,0.996,526.2,8.8,0.4%
YPR052C,0.0013,0.968,526.4,8.8,1.0%
YIR009W,0.0013,0.995,526.5,8.8,1.3%
YLR222C,0.0013,0.998,526.5,8.8,0.1%
YLR077W,0.0013,0.995,526.6,8.8,0.5%
YDL078C,0.0013,0.997,526.7,8.8,0.3%
YLR226W,0.0013,0.988,526.7,8.8,1.0%
YGL111W,0.0013,0.998,526.7,8.8,0.1%
YLR075W,0.0013,0.993,526.7,8.8,0.6%
YDL161W,0.0013,0.999,526.7,8.8,0.0%
YPL009C,0.0013,0.997,526.8,8.8,0.2%
YOR070C,0.0013,0.997,527.0,8.8,0.4%
YBR058C,0.0013,0.999,527.1,8.8,0.1%
YBR055C,0.0013,0.998,527.2,8.8,0.1%
YFL017W-A,0.0013,0.996,527.4,8.8,0.4%
YER080W,0.0013,0.998,527.4,8.8,0.2%
YLR215C,0.0013,0.997,527.7,8.8,0.2%
YGR132C,0.0013,0.999,527.8,8.8,0.1%
YOR014W,0.0013,0.996,527.8,8.8,0.4%
YNR001C,0.0013,0.998,527.9,8.8,0.2%
YMR258C,0.0013,0.995,528.0,8.8,0.7%
YGL190C,0.0013,0.995,528.0,8.8,0.5%
YNL181W,0.0013,0.998,528.1,8.8,0.1%
YLR069C,0.0013,0.997,528.2,8.8,0.2%
YLR018C,0.0013,0.995,528.3,8.8,0.5%
YFR016C,0.0013,0.998,528.4,8.8,0.2%
YML014W,0.0013,0.995,528.7,8.8,0.5%
YMR226C,0.0013,0.999,529.1,8.8,0.0%
YLR388W,0.0013,0.993,529.2,8.8,1.8%
YGL231C,0.0013,0.995,529.2,8.8,0.5%
YIL039W,0.0013,0.998,529.2,8.8,0.1%
YNR043W,0.0013,0.998,529.3,8.8,0.2%
YJL183W,0.0013,0.995,529.3,8.8,0.4%
YGR068C,0.0013,0.993,529.4,8.8,0.7%
YDR020C,0.0013,0.997,529.4,8.8,0.2%
YDR081C,0.0013,0.997,529.5,8.8,0.2%
YLL021W,0.0013,0.997,529.5,8.8,0.3%
YKL113C,0.0013,0.997,529.6,8.8,0.2%
YBR084W,0.0013,0.996,529.7,8.8,0.3%
YOR095C,0.0013,0.998,529.9,8.8,0.1%
YNL207W,0.0013,0.997,529.9,8.8,0.2%
YGR021W,0.0013,1.000,530.4,8.8,0.1%
YDR148C,0.0013,0.812,530.6,8.8,3.2%
YDR481C,0.0013,1.000,530.7,8.8,0.0%
YLR413W,0.0013,0.990,530.8,8.8,0.8%
YBL017C,0.0013,0.997,530.9,8.8,0.2%
YML072C,0.0013,0.997,530.9,8.8,0.3%
YLR148W,0.0013,0.991,531.0,8.8,0.3%
YPL132W,0.0013,0.996,531.0,8.9,0.3%
YPL007C,0.0013,0.996,531.1,8.9,0.3%
YKL052C,0.0013,0.998,531.4,8.9,0.1%
YNL244C,0.0013,0.997,531.4,8.9,0.3%
YDR480W,0.0013,0.980,531.4,8.9,1.9%
YPL183C,0.0013,0.995,531.5,8.9,0.4%
YOL042W,0.0013,0.997,531.5,8.9,0.1%
YDR012W,0.0013,0.991,531.5,8.9,0.8%
YIL063C,0.0013,0.996,531.6,8.9,0.2%
YDR469W,0.0013,0.995,531.7,8.9,0.4%
YBR048W,0.0013,0.994,531.8,8.9,0.5%
YDR025W,0.0013,0.994,531.8,8.9,0.5%
YGL133W,0.0013,0.996,532.0,8.9,0.2%
YGR152C,0.0013,0.995,532.1,8.9,0.3%
YKL194C,0.0013,0.987,532.1,8.9,0.6%
YGR147C,0.0013,0.997,532.2,8.9,0.2%
YCL011C,0.0013,0.999,532.4,8.9,0.1%
YHR191C,0.0013,1.000,532.5,8.9,0.0%
YOL069W,0.0013,0.997,532.6,8.9,0.2%
YOR185C,0.0013,0.987,532.6,8.9,0.5%
YKL069W,0.0013,0.995,532.8,8.9,0.3%
YNL253W,0.0013,0.984,532.9,8.9,0.8%
YLR324W,0.0013,0.996,533.0,8.9,0.5%
YDR170C,0.0013,0.998,533.1,8.9,0.2%
YLR337C,0.0013,0.997,533.1,8.9,0.3%
YOR004W,0.0013,0.998,533.2,8.9,0.1%
YER009W,0.0013,0.991,533.4,8.9,0.8%
YGR113W,0.0013,0.999,533.4,8.9,0.1%
YHR066W,0.0013,0.998,533.7,8.9,0.1%
YNL193W,0.0013,0.917,533.7,8.9,42.7%
YDR493W,0.0013,1.000,533.8,8.9,0.0%
YER049W,0.0013,0.996,533.9,8.9,0.3%
YGR286C,0.0013,0.999,533.9,8.9,0.0%
YML095C,0.0013,0.999,534.0,8.9,0.1%
YLR146C,0.0013,0.999,534.1,8.9,0.0%
YNL156C,0.0013,0.986,534.4,8.9,0.7%
YBL074C,0.0013,0.986,534.4,8.9,1.1%
