ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YGR102C,0.0028,0.986,251.0,4.2,0.2%
YLL015W,0.0028,0.978,251.1,4.2,6.9%
YMR145C,0.0028,0.999,251.5,4.2,0.0%
YCL033C,0.0028,0.994,251.5,4.2,0.8%
YIR010W,0.0027,0.994,252.1,4.2,0.7%
YIL114C,0.0027,0.996,252.5,4.2,0.3%
YLR214W,0.0027,0.997,253.5,4.2,0.2%
YNR036C,0.0027,0.997,254.2,4.2,0.6%
YMR286W,0.0027,0.997,254.5,4.2,0.2%
YJL166W,0.0027,0.988,254.6,4.2,0.9%
YLR265C,0.0027,0.997,255.0,4.2,0.3%
YJL174W,0.0027,0.900,255.3,4.3,3.6%
YBR091C,0.0027,0.987,256.4,4.3,2.6%
YNR032W,0.0027,0.998,256.5,4.3,0.5%
YDL176W,0.0027,0.948,256.5,4.3,10.0%
YOR303W,0.0027,0.995,257.0,4.3,0.5%
YLR117C,0.0027,0.899,257.3,4.3,4.9%
YDL197C,0.0027,0.990,257.7,4.3,4.3%
YGL029W,0.0027,0.993,258.2,4.3,0.4%
YHR116W,0.0027,0.996,258.3,4.3,0.7%
YKL174C,0.0027,0.972,259.5,4.3,5.6%
YFR029W,0.0027,0.996,260.3,4.3,0.8%
YBL025W,0.0027,0.999,260.4,4.3,0.1%
YMR272C,0.0027,0.994,260.5,4.3,0.7%
YHL002W,0.0027,0.993,260.8,4.3,0.7%
YBL086C,0.0027,0.994,260.9,4.3,0.8%
YGR028W,0.0027,1.000,260.9,4.3,0.0%
YHR202W,0.0027,0.998,261.2,4.4,0.1%
YDL139C,0.0026,0.995,261.9,4.4,0.9%
YNL306W,0.0026,0.992,262.3,4.4,0.5%
YKL119C,0.0026,0.997,262.4,4.4,0.5%
YBR265W,0.0026,0.998,262.4,4.4,0.2%
YJL098W,0.0026,0.998,262.6,4.4,0.3%
YHR036W,0.0026,0.993,262.8,4.4,0.4%
YDR428C,0.0026,0.991,263.0,4.4,2.9%
YKL045W,0.0026,0.997,263.0,4.4,0.5%
YIL017C,0.0026,0.980,263.4,4.4,3.9%
YBL016W,0.0026,1.000,263.4,4.4,0.0%
YML109W,0.0026,1.000,263.5,4.4,0.1%
YOR189W,0.0026,1.000,263.5,4.4,0.0%
YBR229C,0.0026,0.998,264.0,4.4,0.1%
YIL002W-A,0.0026,0.998,264.3,4.4,0.1%
YDR373W,0.0026,0.999,264.4,4.4,0.0%
YIR002C,0.0026,0.999,264.4,4.4,0.2%
YKR021W,0.0026,0.950,264.6,4.4,7.3%
YML129C,0.0026,0.951,264.7,4.4,6.0%
YBR231C,0.0026,1.000,264.8,4.4,0.0%
YKL167C,0.0026,0.997,264.9,4.4,0.2%
YGR183C,0.0026,0.998,265.4,4.4,0.4%
YML081C-A,0.0026,0.999,265.5,4.4,0.1%
YHR088W,0.0026,0.998,265.6,4.4,0.1%
YGR258C,0.0026,0.995,265.7,4.4,0.8%
YIL111W,0.0026,0.989,265.9,4.4,0.7%
YDR227W,0.0026,0.905,266.6,4.4,3.3%
YIL095W,0.0026,0.987,267.6,4.5,1.9%
YOR385W,0.0026,0.867,267.6,4.5,7.4%
YNL169C,0.0026,0.999,268.8,4.5,0.1%
YPL046C,0.0026,0.989,269.0,4.5,0.9%
YOL070C,0.0026,0.997,269.1,4.5,0.3%
YOL051W,0.0026,1.000,269.4,4.5,0.0%
YDR494W,0.0026,0.997,271.0,4.5,0.3%
YBR188C,0.0026,0.912,271.0,4.5,2.0%
YGL194C,0.0025,0.999,271.9,4.5,0.1%
YLR414C,0.0025,0.998,271.9,4.5,0.1%
